market_id,ts,window_start_ts,window_end_ts,side,token_price,chainlink_open_price,chainlink_ref_price,chainlink_close_price,binance_mid_price,sigma_intraround_per_s,sigma_hourly_per_s,hour_return,orderbook_imbalance,bid_depth_1,ask_depth_1,source
btc-updown-5m-1776323400,1776323580,1776323400,1776323700,UP,0.03,86495.0144745966,86458.23326240435,86503.77974700656,86458.53383822195,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,-0.18136202519639663,262.570538289614,32.73726544825454,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323580,1776323400,1776323700,DOWN,0.97,86495.0144745966,86458.23326240435,86503.77974700656,86458.53383822195,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,-0.4011623493133515,331.94453013417115,281.571910689544,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323610,1776323400,1776323700,UP,0.02,86495.0144745966,86479.21689614069,86503.77974700656,86478.94105348519,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.40581925183280787,355.1069095943489,183.3202479286361,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323610,1776323400,1776323700,DOWN,0.98,86495.0144745966,86479.21689614069,86503.77974700656,86478.94105348519,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,-0.4445205001882184,479.462274659255,181.56538165406084,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323640,1776323400,1776323700,UP,0.01,86495.0144745966,86484.86793999339,86503.77974700656,86481.97963370777,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.40712827327438017,370.27125761303256,277.38948389825634,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323640,1776323400,1776323700,DOWN,0.99,86495.0144745966,86484.86793999339,86503.77974700656,86481.97963370777,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.37311576397937063,201.69650106000967,284.97950301114895,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323670,1776323400,1776323700,UP,0.01,86495.0144745966,86481.49372298489,86503.77974700656,86478.89356306728,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.30457183621492345,41.99570415471786,129.3911723127425,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323670,1776323400,1776323700,DOWN,0.99,86495.0144745966,86481.49372298489,86503.77974700656,86478.89356306728,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,-0.3106120363978928,58.3001489233412,131.73962545329448,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323685,1776323400,1776323700,UP,0.01,86495.0144745966,86485.25362956902,86503.77974700656,86483.39236893917,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,-0.029819032883117352,120.56337477031408,148.14935458357442,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323685,1776323400,1776323700,DOWN,0.99,86495.0144745966,86485.25362956902,86503.77974700656,86483.39236893917,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.336654587712494,331.0569849183649,312.3828827201543,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323690,1776323400,1776323700,UP,0.01,86495.0144745966,86491.12759813579,86503.77974700656,86493.29632167735,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.5895233506365952,327.1998847299646,287.3358770118302,synthetic_fixture_not_real_history
btc-updown-5m-1776323400,1776323690,1776323400,1776323700,DOWN,0.99,86495.0144745966,86491.12759813579,86503.77974700656,86493.29632167735,0.00014711794470946324,7.814120463738056e-05,-0.0005187108009945579,0.0846142509898746,424.5689216911086,392.4799575421975,synthetic_fixture_not_real_history
btc-updown-5m-1776323700,1776323880,1776323700,1776324000,UP,0.03,86504.93998140175,86484.36233515241,86469.54560752459,86482.78121906664,8.470189190509062e-05,5.44942279613847e-05,0.002025898874736495,0.25543866529488,209.90331250911885,458.9828430754609,synthetic_fixture_not_real_history
btc-updown-5m-1776323700,1776323910,1776323700,1776324000,UP,0.02,86504.93998140175,86475.36662821284,86469.54560752459,86475.88697009908,8.470189190509062e-05,5.44942279613847e-05,0.002025898874736495,-0.15337249230601654,289.45670439831235,146.11597209100893,synthetic_fixture_not_real_history
